"author","gutenberg_id","title"
"Shakespeare",1524,"Hamlet, Prince of Denmark"
"Shakespeare",1112,"The Tragedy of Romeo and Juliet"
"Shakespeare",2264,"Macbeth"
"Shakespeare",23042,"The Tempest"
"Shakespeare",2267,"Othello"
"Shakespeare",1120,"The Tragedy of Julius Caesar"
"Shakespeare",1128,"The Tragedy of King Lear"
"Shakespeare",2242,"A Midsummer Night's Dream"
"Shakespeare",1103,"King Richard III"
"Shakespeare",2243,"The Merchant of Venice"
"Shakespeare",1121,"As You Like It"
"Shakespeare",1107,"The Taming of the Shrew"
"Shakespeare",2240,"Much Ado about Nothing"
"Shakespeare",1526,"Twelfth Night; Or, What You Will"
"Shakespeare",2253,"Henry V"
"Shakespeare",1045,"Venus and Adonis"
"Shakespeare",1505,The Rape of Lucrece"
"Shakespeare",1126,"Measure for Measure"
"Shakespeare",2268,"Antony and Cleopatra"
"Shakespeare",1535,"The Tragedy of Coriolanus"
"Shakespeare",23046,"The Comedy of Errors"
"Shakespeare",1790,"Troilus and Cressida"
"Austen",158,"Emma"
"Austen",946,"Lady Susan"
"Austen",1212,"Love and Freindship [sic] "
"Austen",141,"Mansfield Park"
"Austen",121,"Northanger Abbey"
"Austen",105,"Persuasion"
"Austen",42671,"Pride and Prejudice"
"Austen",161,"Sense and Sensibility"
"Austen",42078,"The Letters of Jane Austen"
"Dickens",675,"American Notes"
"Dickens",25985,"Bardell v. Pickwick"
"Dickens",917,"Barnaby Rudge: A Tale of the Riots of Eighty"
"Dickens",676,"The Battle of Life"
"Dickens",40723,"The Battle of Life A Love Story"
"Dickens",1023,"Bleak House"
"Dickens",37121,"Charles Dickens' Children Stories"
"Dickens",42232,"A Child's Dream of a Star"
"Dickens",699,"A Child's History of England"
"Dickens",653,"The Chimes A Goblin Story of Some Bells That Rang an Old Year out and a New Year In"
"Dickens",24022,"A Christmas Carol"
"Dickens",46,"A Christmas Carol in Prose; Being a Ghost Story of Christmas"
"Dickens",30368,"A Christmas Carol The original manuscript"
"Dickens",41739,"A Christmas Carol The Miser's Warning"
"Dickens",20795,"The Cricket on the Hearth"
"Dickens",678,"The Cricket on the Hearth: A Fairy Tale of Home"
"Dickens",766,"David Copperfield"
"Dickens",1415,"Doctor Marigold"
"Dickens",821,"Dombey and Son"
"Dickens",810,"George Silverman's Explanation"
"Dickens",1422,"Going into Society"
"Dickens",1400,"Great Expectations"
"Dickens",786,"Hard Times"
"Dickens",644,"The Haunted Man and the Ghost's Bargain"
"Dickens",809,"Holiday Romance"
"Dickens",1394,"The Holly-Tree"
"Dickens",2324,"A House to Let"
"Dickens",807,"Hunted Down: The Detective Stories of Charles Dickens"
"Dickens",927,"The Lamplighter"
"Dickens",888,"The Lazy Tour of Two Idle Apprentices"
"Dickens",25852,"The Letters of Charles Dickens Vol. 1, 1833-1856"
"Dickens",25853,"The Letters of Charles Dickens Vol. 2, 1857-1870"
"Dickens",25854,"The Letters of Charles Dickens Vol. 3, 1836-1870"
"Dickens",963,"Little Dorrit"
"Dickens",15618,"The Loving Ballad of Lord Bateman"
"Dickens",968,"Martin Chuzzlewit"
"Dickens",588,"Master Humphrey's Clock"
"Dickens",46709,"Memoirs of Joseph Grimaldi"
"Dickens",1407,"A Message from the Sea"
"Dickens",1435,"Miscellaneous Papers"
"Dickens",1421,"Mrs. Lirriper's Legacy"
"Dickens",1416,"Mrs. Lirriper's Lodgings"
"Dickens",912,"Mudfog and Other Sketches"
"Dickens",1419,"Mugby Junction"
"Dickens",564,"The Mystery of Edwin Drood"
"Dickens",967,"Nicholas Nickleby"
"Dickens",1423,"No Thoroughfare"
"Dickens",700,"The Old Curiosity Shop"
"Dickens",730,"Oliver Twist"
"Dickens",883,"Our Mutual Friend"
"Dickens",580,"The Pickwick Papers"
"Dickens",650,"Pictures from Italy"
"Dickens",1392,"The Seven Poor Travellers"
"Dickens",1414,"Somebody's Luggage"
"Dickens",916,"Sketches of Young Couples"
"Dickens",918,"Sketches of Young Gentlemen"
"Dickens",922,"Sunday Under Three Heads"
"Dickens",98,"A Tale of Two Cities"
"Dickens",1289,"Three Ghost Stories"
"Dickens",924,"To Be Read at Dusk"
"Dickens",1413,"Tom Tiddler's Ground"
"Dickens",914,"The Uncommercial Traveller"
"Dickens",1465,"The Wreck of the Golden Mary"
"Poe",1063,"The Cask of Amontillado"
"Poe",14082,"Le Corbeau The Raven"
"Poe",932,"The Fall of the House of Usher"
"Poe",1064,"The Masque of the Red Death"
"Poe",1065,"The Raven"
"Poe",2147,"The Works of Edgar Allan Poe — Volume 1"
"Poe",2148,"The Works of Edgar Allan Poe — Volume 2"
"Poe",2149,"The Works of Edgar Allan Poe — Volume 3"
"Poe",2150,"The Works of Edgar Allan Poe — Volume 4"
"Poe",2152,"The Works of Edgar Allan Poe — Volume 5"
"Poe",10031,"The Complete Poetical Works of Edgar Allan Poe Including Essays on Poetry"
"Poe",1062,"First Project Gutenberg Collection of Edgar Allan Poe"
